"from","to","weight"
"Category:Nonlinear time series analysis","Category:Psychometrics",7
"Category:Statistical mechanics","Category:Non-parametric statistics",22
"Category:Ethics and statistics","Category:Data mining",2
"Category:Continuous distributions","Category:Probability distributions with non-finite variance",2867
"Category:Statistical inference","Category:History of statistics",7
"Category:Econometrics","Category:Probability distributions with non-finite variance",2
"Category:Statistical mechanics","Category:Fields of application of statistics",8
"Category:Probability interpretations","Category:Monte Carlo methods",2
"Category:Graphical models","Category:Bayesian statistics",45
"Category:Generalized linear models","Category:Continuous distributions",16
"Category:Scale statistics","Category:Analysis of variance",16
"Category:Regression variable selection","Category:Optimal decisions",5
"Category:Discrete distributions","Category:Data analysis software",2
"Category:Estimation theory","Category:Statistics",92
"Category:Dimension reduction","Category:Types of probability distributions",2
"Category:Statistics books","Category:Engineering statistics",1
"Category:Data analysis","Category:Demography",98
"Category:Data mining","Category:Fields of application of statistics",14
"Category:Statistical outliers","Category:Actuarial science",12
"Category:Data mining","Category:Information theory",2
"Category:Types of probability distributions","Category:Detection theory",1
"Category:Exponential family distributions","Category:Normality tests",39
"Category:Mathematical finance","Category:Discrete distributions",4
"Category:Statistical classification","Category:Statistical programming languages",2
"Category:Signal processing","Category:Computational statistics",16
"Category:Markov processes","Category:Stochastic processes",394
"Category:Statistical software","Category:Latent variable models",6
"Category:Survey methodology","Category:Pharmaceutical statistics",7
"Category:Latin squares","Category:Parametric statistics",27
"Category:Operations research","Category:Epidemiology",12
"Category:Generalized linear models","Category:Cluster analysis",3
"Category:Probability theory","Category:Design of experiments",74
"Category:Simultaneous equation methods (econometrics)","Category:Statistical deviation and dispersion",10
"Category:Stochastic processes","Category:Statistical dependence",55
"Category:Variance reduction","Category:Exponential family distributions",2
"Category:Means","Category:Continuous distributions",33
"Category:Signal processing","Category:Econometric models",2
"Category:Parametric statistics","Category:Probability distributions",190
"Category:Nonlinear time series analysis","Category:Regression variable selection",1
"Category:Statistical algorithms","Category:Time series analysis",5
"Category:Statistical outliers","Category:Probability distributions with non-finite variance",3
"Category:Fields of application of statistics","Category:Evidence-based medicine",6
"Category:Statistical theorems","Category:Robust statistics",9
"Category:Model selection","Category:Multivariate statistics",15
"Category:Computational statistics","Category:Probability distributions with non-finite variance",2
"Category:Latin squares","Category:Spatial data analysis",3
"Category:History of statistics","Category:Evidence-based medicine",3
"Category:Social statistics","Category:Survival analysis",8
"Category:Statistical data types","Category:Random matrices",8
"Category:Markov models","Category:Computational statistics",13
"Category:Sensitivity analysis","Category:Risk analysis",1
"Category:Information theory","Category:Probability",1
"Category:Probability distributions with non-finite variance","Category:Geostatistics",4
"Category:Probability interpretations","Category:Quality control",8
"Category:Decision theory","Category:Robust regression",1
"Category:Analysis of variance","Category:Statistical theory",296
"Category:Cross-sectional analysis","Category:Observational study",3
"Category:Cohort studies","Category:Bayesian statistics",1
"Category:Statistical distance measures","Category:Statistical data types",4
"Category:Statisticians","Category:Computational statistics",1
"Category:Information theory","Category:Exponential family distributions",18
"Category:Multivariate statistics","Category:Effect size",10
"Category:Probability distributions","Category:Psephology",17
"Category:Probability stubs","Category:Generalized linear models",3
"Category:Sequential methods","Category:Survival analysis",8
"Category:Econometrics","Category:Statistics",76
"Category:Statistical data types","Category:Directional statistics",14
"Category:Statistical terminology","Category:Statistical programming languages",6
"Category:Statistics articles needing expert attention","Category:Asymptotic statistical theory",19
"Category:Mathematical finance","Category:Biostatistics",8
"Category:Statistical programming languages","Category:Data analysis software",17
"Category:Statistical charts and diagrams","Category:Detection theory",1
"Category:Conjugate prior distributions","Category:Signal processing",6
"Category:Inter-rater reliability","Category:Statistical distance measures",1
"Category:Robust statistics","Category:Survey methodology",22
"Category:Statistical software","Category:Statistical terminology",20
"Category:Statistical deviation and dispersion","Category:Non-parametric Bayesian methods",23
"Category:Econometrics","Category:Design of experiments",357
"Category:Multiple comparisons","Category:Exponential family distributions",4
"Category:Multiple comparisons","Category:Quality control",14
"Category:Discrete distributions","Category:Statistical charts and diagrams",42
"Category:Statistical distance measures","Category:Statistical software",4
"Category:Data analysis","Category:Data analysis",300
"Category:Exponential family distributions","Category:Computational statistics",2
"Category:Graphical models","Category:Probability",2
"Category:Robust regression","Category:Epidemiology",4
"Category:Algorithmic inference","Category:Conjugate prior distributions",2
"Category:Non-parametric statistics","Category:Biostatistics",60
"Category:Classification algorithms","Category:Multiple comparisons",2
"Category:Decision theory paradoxes","Category:Statistical randomness",1
"Category:Estimation of densities","Category:Statistical charts and diagrams",23
"Category:Multivariate time series analysis","Category:Data analysis",14
"Category:History of statistics","Category:Statistics",10
"Category:Pharmaceutical statistics","Category:Population ecology",1
"Category:Time series models","Category:Markov models",15
"Category:Probability distributions with non-finite variance","Category:Statistical laws",46
"Category:Validity (statistics)","Category:Robust statistics",1
"Category:Actuarial science","Category:Statistical charts and diagrams",114
"Category:Generalized linear models","Category:Econometrics",48
"Category:Nonlinear time series analysis","Category:Markov processes",8
"Category:Meta-analysis","Category:Statistical tests",91
"Category:Actuarial science","Category:Meta-analysis",16
"Category:Signal processing","Category:Point estimation performance",11
"Category:Misuse of statistics","Category:Summary statistics for contingency tables",1
"Category:Types of probability distributions","Category:Robust statistics",6
"Category:Robust regression","Category:Statistics-related lists",2
"Category:Data clustering algorithms","Category:Statistical principles",2
"Category:Biostatistics","Category:Markov processes",2
"Category:Mathematical finance","Category:Model selection",5
"Category:Simultaneous equation methods (econometrics)","Category:Extreme value data",2
"Category:Statistical inference","Category:Martingale theory",1
"Category:Graphical models","Category:Detection theory",1
"Category:Statistical outliers","Category:Theory of probability distributions",14
"Category:Cluster analysis","Category:Survival analysis",8
"Category:Computational statistics","Category:Signal processing",14
"Category:Multivariate statistics","Category:Statistical data types",49
"Category:Data collection","Category:Analysis of variance",32
"Category:Statistics articles needing expert attention","Category:Discrete distributions",74
"Category:Continuous distributions","Category:Extreme value data",419
"Category:Bayesian statistics","Category:Survival analysis",52
"Category:Statistical terminology","Category:Multivariate continuous distributions",8
"Category:Statistics stubs","Category:Estimation of densities",22
"Category:Inter-rater reliability","Category:Regression with time series structure",1
"Category:Continuous distributions","Category:Multivariate continuous distributions",2045
"Category:Survival analysis","Category:Economic data",10
"Category:Index numbers","Category:Statistics",1
"Category:Quality control","Category:Monte Carlo methods",7
"Category:Means","Category:Meta-analysis",12
"Category:Robust regression","Category:Bayesian statistics",8
"Category:Point estimation performance","Category:Scale statistics",2
"Category:Time series models","Category:Means",14
"Category:Causal inference","Category:Multivariate time series analysis",6
"Category:Variance reduction","Category:Statistical inference",14
"Category:Information theory","Category:Probability distributions with non-finite variance",3
"Category:Statistics education","Category:Factor analysis",1
"Category:Summary statistics for categorical data","Category:Summary statistics",8
"Category:Sequential methods","Category:Geostatistics",4
"Category:Causal inference","Category:Nonparametric regression",13
"Category:Statistical charts and diagrams","Category:Probability interpretations",21
"Category:Theory of probability distributions","Category:Statistical charts and diagrams",143
"Category:Time series analysis","Category:Statistical principles",20
"Category:Time series models","Category:Statistical terminology",58
"Category:Parametric statistics","Category:Design of experiments",136
"Category:Sensitivity analysis","Category:Regression with time series structure",1
"Category:Non-parametric Bayesian methods","Category:Bioinformatics",7
"Category:Statistical theory","Category:Robust statistics",95
"Category:Sampling techniques","Category:Estimation theory",80
"Category:Decision theory","Category:Probability stubs",1
"Category:Sequential experiments","Category:Decision theory",5
"Category:Hypothesis testing","Category:Psychometrics",105
"Category:Generalized linear models","Category:Information theory",2
"Category:Statistical mechanics","Category:Survival analysis",17
"Category:Statistical outliers","Category:Statistical data types",5
"Category:Statistical approximations","Category:Multivariate statistics",15
"Category:Econometric models","Category:Non-parametric Bayesian methods",1
"Category:Classification algorithms","Category:Theory of probability distributions",15
"Category:Decision trees","Category:Bayesian networks",1
"Category:Statistical mechanics","Category:Spatial data analysis",4
"Category:Statistical theory","Category:Statistical ratios",195
"Category:Missing data","Category:Psychometrics",6
"Category:Medical statistics","Category:Cheminformatics",26
"Category:Risk analysis","Category:Data mining",1
"Category:Statistics education","Category:Discrete distributions",1
"Category:Multivariate continuous distributions","Category:Bayesian networks",2
"Category:Demography","Category:Cross-sectional analysis",2
"Category:Statistical principles","Category:Least squares",4
"Category:Statistical forecasting","Category:Parametric statistics",16
"Category:Uncertainty of numbers","Category:Multivariate time series analysis",1
"Category:Probability distributions","Category:Design of experiments",120
"Category:Statistical data types","Category:Algebra of random variables",3
"Category:Statistics","Category:Probability stubs",4
"Category:Design of experiments","Category:Detection theory",4
"Category:Mathematical finance","Category:Statistical dependence",19
"Category:Scale statistics","Category:Categorical data",18
"Category:Normality tests","Category:Survey methodology",35
"Category:Bayesian inference","Category:Pharmaceutical statistics",4
"Category:Demography","Category:Validity (statistics)",2
"Category:Least squares","Category:Statistical charts and diagrams",20
"Category:Algebra of random variables","Category:Effect size",1
"Category:Statistical charts and diagrams","Category:Probability distributions with non-finite variance",28
"Category:Population ecology","Category:Statistical inference",2
"Category:Design of experiments","Category:Information theory",13
"Category:Data analysis","Category:Exploratory data analysis",30
"Category:Multivariate time series analysis","Category:Monte Carlo methods",1
"Category:Multiple comparisons","Category:Social statistics",2
"Category:Robust statistics","Category:Decision theory",6
"Category:Computational statistics","Category:Statistical algorithms",4
"Category:Non-parametric Bayesian methods","Category:Psephology",1
"Category:Probability stubs","Category:Meta-analysis",2
"Category:Bayesian inference","Category:Discrete distributions",10
"Category:Signal processing","Category:Probability theory",51
"Category:Decision theory","Category:Conjugate prior distributions",7
"Category:Multivariate time series analysis","Category:Factor analysis",2
"Category:Decision theory paradoxes","Category:Continuous distributions",1
"Category:Multivariate time series analysis","Category:Time series models",5
"Category:Bayesian statistics","Category:Climate and weather statistics",4
"Category:Inter-rater reliability","Category:Probability interpretations",1
"Category:Multivariate time series analysis","Category:Psephology",1
"Category:Laymen and statistics","Category:Forensic statistics",1
"Category:Regression variable selection","Category:Statistical models",39
"Category:Model selection","Category:Social statistics",2
"Category:Design of experiments","Category:Characterization of probability distributions",40
"Category:Probability interpretations","Category:Meta-analysis",2
"Category:Cheminformatics","Category:Nonparametric regression",2
"Category:Actuarial science","Category:Cohort study methods",5
"Category:Statistical theorems","Category:Summary statistics for contingency tables",3
"Category:Statisticians","Category:Optimal decisions",2
"Category:Probability distributions","Category:Probability theory",659
"Category:Point estimation performance","Category:Classification algorithms",1
"Category:Statistical charts and diagrams","Category:Model selection",35
"Category:Statistics stubs","Category:Statistical software",168
"Category:Economic data","Category:Epidemiology",5
"Category:Latin squares","Category:Statistical data types",12
"Category:Survey methodology","Category:Statistical terminology",150
"Category:Bayesian inference","Category:Parametric statistics",32
"Category:Optimal decisions","Category:Types of probability distributions",4
"Category:Econometrics","Category:Statistical data agreements",1
"Category:Epidemiology","Category:Point processes",6
"Category:Statistical charts and diagrams","Category:Comparison of assessments",1
"Category:Statistical classification","Category:Model selection",9
"Category:Monte Carlo methods","Category:Statistics stubs",6
"Category:Statistical dependence","Category:Statistical natural language processing",1
"Category:Estimation theory","Category:Environmental statistics",12
"Category:Robust regression","Category:Monte Carlo methods",1
"Category:Non-parametric statistics","Category:Actuarial science",93
"Category:Economic data","Category:Statistical randomness",1
"Category:Multivariate continuous distributions","Category:Probability",1
"Category:Robust statistics","Category:Observational study",9
"Category:Statistical mechanics","Category:Causal inference",3
"Category:Optimal decisions","Category:Psychometrics",22
"Category:Scale statistics","Category:Effect size",2
"Category:Summary statistics","Category:Nonparametric regression",34
"Category:Time series models","Category:Statistical programming languages",4
"Category:Monte Carlo methods","Category:Sampling techniques",23
"Category:Robust statistics","Category:Statistical forecasting",8
"Category:Econometrics","Category:Missing data",1
"Category:Inter-rater reliability","Category:Classification algorithms",1
"Category:Regression variable selection","Category:Epidemiology",8
"Category:Statistical approximations","Category:Stochastic models",3
"Category:Time series analysis","Category:Bayesian networks",2
"Category:Statistical randomness","Category:Latent variable models",4
"Category:Non-uniform random numbers","Category:Distributions with conjugate priors",11
"Category:Statistical tests","Category:Directional statistics",2
"Category:Probability stubs","Category:Statistics-related lists",2
"Category:Statistical genetics","Category:Categorical data",4
"Category:Summary statistics for contingency tables","Category:Epidemiology",84
"Category:Statistical outliers","Category:Monte Carlo methods",1
"Category:Engineering statistics","Category:Statistical randomness",9
"Category:Continuous distributions","Category:Queueing theory",6
"Category:Sensitivity analysis","Category:Computational statistics",1
"Category:Summary statistics","Category:Theory of probability distributions",222
"Category:Simultaneous equation methods (econometrics)","Category:Parametric statistics",8
"Category:Parametric statistics","Category:Statistics stubs",29
"Category:Statistical theorems","Category:Statistical approximations",6
"Category:Non-parametric statistics","Category:Parametric statistics",114
"Category:Psephology","Category:Resampling (statistics)",2
"Category:Survival analysis","Category:Factor analysis",10
"Category:Statistics stubs","Category:Dimension reduction",19
"Category:Logic and statistics","Category:Conjugate prior distributions",6
"Category:Psephology","Category:Summary statistics for contingency tables",1
"Category:Extreme value data","Category:Extreme value data",25
"Category:Robust statistics","Category:Economic data",3
"Category:Simultaneous equation methods (econometrics)","Category:Population ecology",1
"Category:Fundamental analysis","Category:Actuarial science",1
"Category:Probability","Category:Social statistics",1
"Category:Bioinformatics","Category:Effect size",2
"Category:Regression variable selection","Category:Demography",12
"Category:Statistical inference","Category:Signal processing",109
"Category:Statistical principles","Category:Estimation of densities",2
"Category:Theory of probability distributions","Category:Causal inference",27
"Category:Geostatistics","Category:Sampling (statistics)",23
"Category:Queueing theory","Category:Computational statistics",1
"Category:Hypothesis testing","Category:Statistical approximations",8
"Category:Robust regression","Category:Fields of application of statistics",7
"Category:Optimal decisions","Category:Factor analysis",2
"Category:Statistical outliers","Category:Statistical methods",11
"Category:Hypothesis testing","Category:Detection theory",4
"Category:Probability stubs","Category:Graphical models",13
"Category:Risk analysis","Category:Time series models",1
"Category:Probability distributions with non-finite variance","Category:Normality tests",25
"Category:Regression analysis","Category:Conjugate prior distributions",34
"Category:Sensitivity analysis","Category:Categorical data",9
"Category:Environmental statistics","Category:Exponential family distributions",11
"Category:Statistical theorems","Category:Spatial data analysis",4
"Category:Point estimation performance","Category:Probability theory",6
"Category:Resampling (statistics)","Category:Observational study",3
"Category:Regression with time series structure","Category:Probability theory",2
"Category:Data collection","Category:Uncertainty of numbers",1
"Category:Time series analysis","Category:Design of experiments",331
"Category:Cheminformatics","Category:Logic and statistics",6
"Category:Decision theory","Category:Population ecology",1
"Category:Causal inference","Category:Statistics books",2
"Category:Robust statistics","Category:Graphical models",5
"Category:Risk analysis","Category:Exploratory data analysis",1
"Category:Statistical inequalities","Category:Data analysis",18
"Category:Exploratory data analysis","Category:Statistics articles needing expert attention",15
"Category:Resampling (statistics)","Category:Statistical classification",1
"Category:Tails of probability distributions","Category:Statistical models",12
"Category:Psychometrics","Category:Statistical models",102
"Category:Regression variable selection","Category:Multivariate time series analysis",2
"Category:Effect size","Category:Time series analysis",17
"Category:Cluster analysis","Category:Statistical inference",16
"Category:Model selection","Category:Discrete distributions",4
"Category:Point processes","Category:Regression diagnostics",2
"Category:Computational statistics","Category:Computational statistics",28
"Category:Probability","Category:Hypothesis testing",4
"Category:Exploratory data analysis","Category:Bayesian statistics",13
"Category:Bayesian statistics","Category:Generalized linear models",19
"Category:Statistical intervals","Category:Computational statistics",4
"Category:Multiple comparisons","Category:Summary statistics for contingency tables",10
"Category:Statistical mechanics","Category:Estimation of densities",2
"Category:Analysis of variance","Category:Means",86
"Category:Biostatistics","Category:Factor analysis",4
"Category:Operations research","Category:Economic data",3
"Category:Stochastic processes","Category:Bayesian inference",16
"Category:Statistics articles needing expert attention","Category:Multivariate discrete distributions",6
"Category:Misuse of statistics","Category:Statistical outliers",2
"Category:Statistical ratios","Category:Medical statistics",185
"Category:Statistical ratios","Category:Continuous distributions",65
"Category:Continuous distributions","Category:Design of experiments",92
"Category:Information theory","Category:Statistical models",13
"Category:Stochastic processes","Category:Latent variable models",8
"Category:Latin squares","Category:Classification algorithms",3
"Category:Nonparametric regression","Category:Regression variable selection",7
"Category:Computational statistics","Category:Statistical programming languages",1
"Category:Theory of probability distributions","Category:Extreme value data",16
"Category:Probability distributions","Category:Statistical laws",376
"Category:Statistical deviation and dispersion","Category:Uncertainty of numbers",11
"Category:Categorical data","Category:Hypothesis testing",87
"Category:Poisson processes","Category:Evidence-based medicine",1
"Category:Monte Carlo methods","Category:Causal inference",3
"Category:Robust statistics","Category:Parametric statistics",29
"Category:Statistics-related lists","Category:Statistics books",3
"Category:Bayesian statistics","Category:Statistical inference",149
"Category:Engineering statistics","Category:Statistical models",42
"Category:Normality tests","Category:Statistics-related lists",10
"Category:Categorical data","Category:Computational statistics",21
"Category:Biostatistics","Category:Misuse of statistics",5
"Category:Time series models","Category:Regression analysis",67
"Category:Survey methodology","Category:Economic data",7
"Category:Index numbers","Category:Continuous distributions",1
"Category:Probability stubs","Category:Statistical deviation and dispersion",25
"Category:Survey methodology","Category:Normality tests",28
"Category:Data analysis","Category:Statistical classification",33
"Category:History of statistics","Category:Distributions with conjugate priors",4
"Category:Information theory","Category:Econometrics",7
"Category:Effect size","Category:Statistical ratios",13
"Category:Information theory","Category:Cluster analysis",3
"Category:Probability","Category:Geostatistics",4
"Category:Misuse of statistics","Category:Summary statistics",1
"Category:Types of probability distributions","Category:Covariance and correlation",3
"Category:Probability distributions","Category:Information theory",71
"Category:Actuarial science","Category:Statistical outliers",10
"Category:Statistical intervals","Category:Dimension reduction",3
"Category:Statistical randomness","Category:Resampling (statistics)",6
"Category:Sensitivity analysis","Category:Summary statistics",13
"Category:Statistical approximations","Category:Robust statistics",12
"Category:Time series analysis","Category:Medical statistics",73
"Category:Probability stubs","Category:Least squares",3
"Category:Signal processing","Category:Statistical distance measures",6
"Category:Effect size","Category:Analysis of variance",18
"Category:Stochastic processes","Category:Regression diagnostics",4
"Category:Survey methodology","Category:Biostatistics",31
"Category:Decision trees","Category:Statistical methods",3
"Category:Design of experiments","Category:Hypothesis testing",245
"Category:Bayesian inference","Category:Probability theory",57
"Category:Biostatistics","Category:Statistical algorithms",1
"Category:Statistics","Category:Quality control",17
"Category:Statistical models","Category:Statistics",57
"Category:Design of experiments","Category:Simultaneous equation methods (econometrics)",4
"Category:Statistics","Category:Engineering statistics",25
"Category:Data collection","Category:Inter-rater reliability",4
"Category:Decision theory","Category:Stochastic processes",14
"Category:Statistical approximations","Category:Logic and statistics",11
"Category:Data collection","Category:Environmental statistics",4
"Category:Social statistics","Category:Medical statistics",4
"Category:Statistical natural language processing","Category:Statistical charts and diagrams",1
"Category:Generalized linear models","Category:Model selection",8
"Category:Sequential experiments","Category:Least squares",10
"Category:Fields of application of statistics","Category:Conjugate prior distributions",1
"Category:Fields of application of statistics","Category:Bayesian networks",1
"Category:Data mining","Category:Time series analysis",37
"Category:Statistical terminology","Category:Regression variable selection",48
"Category:Statistics","Category:Psychometrics",26
"Category:Statistical algorithms","Category:F-divergences",1
"Category:Actuarial science","Category:Biostatistics",36
"Category:Uncertainty of numbers","Category:Normality tests",5
"Category:Survival analysis","Category:Population ecology",5
"Category:Cross-sectional analysis","Category:Population ecology",1
"Category:Statistics stubs","Category:Probability stubs",60
"Category:Cohort study methods","Category:Logic and statistics",3
"Category:Data analysis","Category:Comparison of assessments",9
"Category:Statistics education","Category:Dimension reduction",1
"Category:Non-parametric statistics","Category:Inter-rater reliability",21
"Category:Economic data","Category:Psephology",1
"Category:Survival analysis","Category:Statistics",41
"Category:Economic data","Category:Types of probability distributions",1
"Category:Actuarial science","Category:Bioinformatics",16
"Category:Estimation of densities","Category:Econometrics",19
"Category:Classification algorithms","Category:Model selection",5
"Category:Data analysis","Category:Analysis of variance",148
"Category:Non-parametric statistics","Category:Classification algorithms",23
"Category:Decision theory","Category:Statistical mechanics",2
"Category:Fields of application of statistics","Category:Probability stubs",6
"Category:Statistical mechanics","Category:Bioinformatics",3
"Category:Laymen and statistics","Category:Statistical methods",2
"Category:Variance reduction","Category:Pharmaceutical statistics",1
"Category:Random matrices","Category:Random matrices",46
"Category:Psephology","Category:Theory of probability distributions",10
"Category:Robust statistics","Category:Summary statistics",91
"Category:Computational statistics","Category:Statistical deviation and dispersion",32
"Category:Regression analysis","Category:Statistical randomness",31
"Category:Optimal decisions","Category:Latent variable models",6
"Category:Statistical classification","Category:Mathematical finance",4
"Category:Least squares","Category:Observational study",4
"Category:Least squares","Category:Regression analysis",456
"Category:Meta-analysis","Category:Observational study",12
"Category:Nonparametric regression","Category:Categorical data",27
"Category:Statistics-related lists","Category:Sampling techniques",31
"Category:Nonparametric regression","Category:Time series analysis",38
"Category:Non-parametric Bayesian methods","Category:Conjugate prior distributions",10
"Category:Quality control","Category:Hypothesis testing",29
"Category:Econometrics","Category:Bayesian inference",88
"Category:Market research statistics","Category:Statistical programming languages",1
"Category:Bioinformatics","Category:Survival analysis",17
"Category:Psephology","Category:Probability interpretations",1
"Category:Non-parametric statistics","Category:Multivariate continuous distributions",2
"Category:Demography","Category:Population models",10
"Category:Statistical inequalities","Category:Statistical randomness",2
"Category:Detection theory","Category:Statistical tests",25
"Category:Statistical inference","Category:Statistical methods",105
"Category:Sampling techniques","Category:Variance reduction",12
"Category:Decision theory paradoxes","Category:Statistical paradoxes",1
"Category:Probability theory","Category:Regression variable selection",6
"Category:Time series models","Category:Statistical inference",24
"Category:Statistical models","Category:Inter-rater reliability",10
"Category:Statistics-related lists","Category:Least squares",53
"Category:Probability distributions","Category:Statistical dependence",92
"Category:Demography","Category:Probability interpretations",6
"Category:Statistical terminology","Category:Statistics stubs",171
"Category:Cheminformatics","Category:Model selection",2
"Category:Medical statistics","Category:Misuse of statistics",29
"Category:Statistical genetics","Category:Data analysis",6
"Category:Statisticians","Category:Parametric statistics",8
"Category:Biostatistics","Category:Data analysis",49
"Category:Statistics stubs","Category:Classification algorithms",26
"Category:Asymptotic statistical theory","Category:Statistical data types",9
"Category:Design of experiments","Category:Point estimation performance",49
"Category:Statistics-related lists","Category:Random matrices",8
"Category:Statistical data types","Category:Quality control",21
"Category:Climate and weather statistics","Category:Data analysis",8
"Category:Covariance and correlation","Category:Probability theory",90
"Category:Nonlinear time series analysis","Category:Statistical forecasting",2
"Category:Least squares","Category:Statistical dependence",38
"Category:Tails of probability distributions","Category:Statistical dependence",3
"Category:Multiple comparisons","Category:Categorical data",19
"Category:Sequential experiments","Category:Hypothesis testing",3
"Category:Multivariate statistics","Category:Statistical outliers",16
"Category:Statistical programming languages","Category:Probability interpretations",1
"Category:Quality control","Category:Model selection",16
"Category:Latin squares","Category:Probability stubs",3
"Category:Continuous distributions","Category:Index numbers",3
"Category:Statistics stubs","Category:Point estimation performance",15
"Category:Data collection","Category:Covariance and correlation",40
"Category:Bayesian inference","Category:Categorical data",44
"Category:Statistical laws","Category:Stochastic processes",5
"Category:Statistical laws","Category:Statistical mechanics",6
"Category:Regression analysis","Category:Graphical models",40
"Category:Bioinformatics","Category:Probability interpretations",3
"Category:Exponential family distributions","Category:Statistical randomness",5
"Category:Continuous distributions","Category:Least squares",17
"Category:Statistical methods","Category:Probability distributions",23
"Category:Multivariate continuous distributions","Category:Probability stubs",85
"Category:Econometrics","Category:Economic data",24
"Category:Probability distributions","Category:Statistical inference",138
"Category:Multivariate time series analysis","Category:Probability interpretations",2
"Category:Statistical tests","Category:Environmental statistics",24
"Category:Demography","Category:Statistical charts and diagrams",98
"Category:Statistics stubs","Category:Population ecology",4
"Category:Nonlinear time series analysis","Category:Optimal decisions",2
"Category:Geostatistics","Category:Actuarial science",23
"Category:Cluster analysis","Category:Quality control",5
"Category:Types of probability distributions","Category:Statistical ratios",9
"Category:Statistical mechanics","Category:Statistical classification",1
"Category:Summary statistics for categorical data","Category:Data analysis",3
"Category:Statistical mechanics","Category:Applications of Bayesian inference",1
"Category:History of statistics","Category:Continuous distributions",18
"Category:Statistical tests","Category:Bayesian inference",129
"Category:Statistical methods","Category:Types of probability distributions",8
"Category:Ethics and statistics","Category:Hypothesis testing",4
"Category:Parametric statistics","Category:Extreme value data",3
"Category:Bayesian statistics","Category:Information theory",12
"Category:Statistical dependence","Category:Bayesian inference",56
"Category:Markov processes","Category:Theory of probability distributions",13
"Category:Effect size","Category:Non-parametric statistics",20
"Category:Causal inference","Category:Mathematical finance",6
"Category:Misuse of statistics","Category:Point processes",1
"Category:Scale statistics","Category:Point estimation performance",3
"Category:Sequential experiments","Category:Statistics",1
"Category:Causal inference","Category:Statistical terminology",180
"Category:Covariance and correlation","Category:Geostatistics",67
"Category:Statistical models","Category:Epidemiology",51
"Category:Statistics education","Category:Variance reduction",1
"Category:Model selection","Category:Effect size",2
"Category:Normality tests","Category:Summary statistics",65
"Category:Statistical algorithms","Category:Statistical charts and diagrams",3
"Category:Variance reduction","Category:Types of probability distributions",1
"Category:Non-parametric Bayesian methods","Category:Medical statistics",4
"Category:Markov models","Category:Markov processes",63
"Category:Hypothesis testing","Category:Social statistics",11
"Category:Variance reduction","Category:Factor analysis",1
"Category:Statistical terminology","Category:Fundamental analysis",1
"Category:Causal inference","Category:Economic data",6
"Category:Statistical inference","Category:Statistical data types",61
"Category:Evidence-based medicine","Category:Latent variable models",1
"Category:Mathematical finance","Category:Probability interpretations",3
"Category:Classification algorithms","Category:Data clustering algorithms",28
"Category:Data mining","Category:Conjugate prior distributions",2
"Category:Data collection","Category:Risk factors",1
"Category:Bayesian inference","Category:Statistics",18
"Category:Bayesian inference","Category:Summary statistics for contingency tables",4
"Category:Statistical laws","Category:Cluster analysis",2
"Category:Statistical principles","Category:Bayesian statistics",44
"Category:Medical statistics","Category:Continuous distributions",15
"Category:Econometrics","Category:Multivariate discrete distributions",1
"Category:Evidence-based medicine","Category:Statistical data types",8
"Category:Probability","Category:Estimation of densities",2
"Category:Stochastic processes","Category:Statistical methods",16
"Category:Multivariate statistics","Category:Dimension reduction",73
"Category:Queueing theory","Category:Analysis of variance",2
"Category:Classification algorithms","Category:Meta-analysis",2
"Category:Social statistics","Category:Regression variable selection",1
"Category:Biostatistics","Category:Decision theory",3
"Category:Statistical principles","Category:Cluster analysis",1
"Category:Survey methodology","Category:Parametric statistics",49
"Category:Normality tests","Category:Signal processing",30
"Category:Econometrics","Category:Estimation of densities",33
"Category:Biostatistics","Category:Continuous distributions",12
"Category:Multivariate discrete distributions","Category:Estimation theory",1
"Category:Statistical mechanics","Category:Dimension reduction",1
"Category:Data collection","Category:Multivariate time series analysis",4
"Category:Statistical theorems","Category:Logic and statistics",16
"Category:Data mining","Category:Means",12
"Category:Actuarial science","Category:Statistical theory",158
"Category:Information theory","Category:Design of experiments",6
"Category:Statistical methods","Category:Probability distributions with non-finite variance",1
"Category:Parametric statistics","Category:Hypothesis testing",41
"Category:Statistical approximations","Category:Demography",13
"Category:Point processes","Category:Nonparametric regression",2
"Category:Optimal decisions","Category:Sensitivity analysis",1
"Category:Analysis of variance","Category:Extreme value data",5
"Category:Design of experiments","Category:Uncertainty of numbers",5
"Category:Multivariate continuous distributions","Category:Statistical genetics",17
"Category:Detection theory","Category:Multiple comparisons",2
"Category:Time series models","Category:Summary statistics for contingency tables",2
"Category:Statistical outliers","Category:Cheminformatics",1
"Category:Regression variable selection","Category:Pharmaceutical statistics",2
"Category:Epidemiology","Category:Statistical genetics",6
"Category:Statistical forecasting","Category:Econometrics",48
"Category:Summary statistics","Category:Monte Carlo methods",18
"Category:Data collection","Category:Graphical models",6
"Category:Multivariate continuous distributions","Category:Characterization of probability distributions",1
"Category:Multivariate time series analysis","Category:Econometric models",2
"Category:Poisson processes","Category:Least squares",5
"Category:Estimation of densities","Category:Bayesian inference",7
"Category:Demography","Category:Robust regression",6
"Category:Statistical theory","Category:Probability theory",195
"Category:Directional statistics","Category:Theory of probability distributions",66
"Category:Statistics education","Category:Data collection",4
"Category:Statistical principles","Category:Statistics stubs",8
"Category:Time series models","Category:Statistics-related lists",4
